Vardas         Pavarde        ND1     ND2     ND3     ND4     ND5     ND6     ND7     ND8     ND9     ND10    ND11    ND12    ND13    ND14    Egzaminas   
Vardas1        Pavarde1       8       4       5       3       4       10      5       1       1       1       7       1       4       9       10          
Vardas2        Pavarde2       5       10      4       6       4       5       2       8       3       8       5       7       1       5       6           
Vardas3        Pavarde3       6       3       2       4       6       10      10      3       6       5       3       10      9       9       3           
Vardas4        Pavarde4       5       2       4       2       8       7       5       3       5       5       7       3       2       3       3           
Vardas5        Pavarde5       7       1       2       6       1       2       5       2       6       3       10      6       4       9       4           
Vardas6        Pavarde6       9       3       10      7       8       6       2       7       6       6       5       7       8       8       10          
Vardas7        Pavarde7       3       4       1       2       3       9       9       4       1       3       5       3       9       6       4           
Vardas8        Pavarde8       5       8       7       5       1       4       8       7       3       10      3       7       6       7       5           
Vardas9        Pavarde9       5       6       4       3       2       2       8       2       9       8       6       3       6       7       5           
Vardas10       Pavarde10      9       8       3       5       9       9       7       9       4       7       8       1       3       10      5           
Vardas11       Pavarde11      2       4       6       8       7       3       4       9       7       4       7       8       3       7       3           
Vardas12       Pavarde12      10      5       6       8       5       10      3       4       4       7       9       9       1       4       1           
Vardas13       Pavarde13      7       9       7       8       6       2       10      10      5       6       4       5       2       6       6           
Vardas14       Pavarde14      2       8       10      2       2       9       5       2       2       6       3       7       5       6       4           
Vardas15       Pavarde15      2       6       8       7       10      8       2       4       4       4       1       9       7       7       8           
Vardas16       Pavarde16      2       6       2       1       2       1       10      7       9       2       5       5       4       8       2           
Vardas17       Pavarde17      6       8       8       4       1       1       6       6       8       3       9       5       6       3       8           
Vardas18       Pavarde18      1       4       3       6       3       3       9       1       5       9       3       5       9       7       9           
Vardas19       Pavarde19      2       1       2       4       10      7       4       10      2       5       2       9       1       6       3           
Vardas20       Pavarde20      5       2       1       5       6       7       10      8       3       7       6       7       5       5       4           
Vardas21       Pavarde21      6       1       9       10      6       4       8       9       8       3       1       7       9       5       2           
Vardas22       Pavarde22      4       5       3       8       8       5       7       9       5       7       2       1       10      6       1           
Vardas23       Pavarde23      1       1       10      7       1       4       6       2       8       1       2       5       1       10      5           
Vardas24       Pavarde24      10      4       9       6       4       2       9       6       10      7       6       10      9       6       5           
Vardas25       Pavarde25      8       4       5       3       10      8       9       2       7       8       6       2       9       6       3           
Vardas26       Pavarde26      2       10      4       2       10      6       7       8       3       8       6       3       6       4       10          
Vardas27       Pavarde27      5       6       4       1       6       6       1       6       4       4       1       7       2       5       2           
Vardas28       Pavarde28      1       7       4       8       4       5       8       10      4       8       10      8       8       10      9           
Vardas29       Pavarde29      7       4       3       2       1       7       6       7       3       1       6       2       9       7       4           
Vardas30       Pavarde30      10      2       4       3       9       5       7       3       2       1       7       8       1       8       10          
Vardas31       Pavarde31      6       6       4       1       8       2       1       1       3       2       1       3       9       7       7           
Vardas32       Pavarde32      9       1       8       6       3       1       10      10      5       8       9       4       9       10      6           
Vardas33       Pavarde33      3       2       8       5       7       6       6       3       8       8       5       5       8       1       5           
Vardas34       Pavarde34      5       1       3       10      9       6       5       1       1       9       4       4       1       3       9           
Vardas35       Pavarde35      3       2       2       7       5       6       7       1       9       5       8       6       1       9       10          
Vardas36       Pavarde36      2       7       5       10      8       6       5       4       7       6       5       1       3       7       2           
Vardas37       Pavarde37      3       1       3       2       7       10      2       8       5       5       10      1       10      5       5           
Vardas38       Pavarde38      5       8       9       1       4       8       7       6       7       2       2       10      4       2       1           
Vardas39       Pavarde39      4       5       6       6       6       2       6       10      1       2       3       10      3       10      7           
Vardas40       Pavarde40      7       8       4       1       1       2       1       2       10      2       3       4       8       3       8           
Vardas41       Pavarde41      1       4       9       8       2       6       6       1       5       5       3       4       8       9       9           
Vardas42       Pavarde42      4       9       8       7       5       1       3       4       3       2       4       6       6       10      4           
Vardas43       Pavarde43      10      2       1       7       8       4       2       2       4       7       4       1       2       7       5           
Vardas44       Pavarde44      3       2       10      3       6       6       1       9       4       10      7       10      3       3       2           
Vardas45       Pavarde45      5       3       10      8       1       5       8       8       1       6       1       6       2       7       10          
Vardas46       Pavarde46      2       7       10      4       2       1       3       5       10      5       7       1       5       2       2           
Vardas47       Pavarde47      1       5       3       9       8       4       5       8       4       3       5       1       8       1       8           
Vardas48       Pavarde48      2       6       6       6       1       5       9       1       6       5       7       2       2       2       1           
Vardas49       Pavarde49      7       10      6       1       2       2       7       2       4       4       8       7       6       9       8           
Vardas50       Pavarde50      9       1       8       5       6       2       2       3       3       4       6       3       2       10      1           
Vardas51       Pavarde51      7       10      7       5       8       5       3       1       5       4       7       4       8       9       3           
Vardas52       Pavarde52      9       10      1       4       8       6       9       6       3       4       10      7       9       1       5           
Vardas53       Pavarde53      2       8       6       3       1       5       7       5       10      8       6       7       4       6       5           
Vardas54       Pavarde54      2       5       3       5       6       8       1       9       2       5       6       9       6       10      4           
Vardas55       Pavarde55      10      5       10      9       2       2       9       1       5       10      3       9       8       6       6           
Vardas56       Pavarde56      7       7       10      7       6       2       4       10      9       1       1       9       10      1       6           
Vardas57       Pavarde57      3       5       4       4       10      9       5       4       9       10      3       2       1       5       1           
Vardas58       Pavarde58      2       4       5       3       9       6       9       4       8       1       4       8       9       7       1           
Vardas59       Pavarde59      4       8       2       4       8       5       6       9       3       9       6       3       7       3       7           
Vardas60       Pavarde60      4       4       3       6       6       10      5       2       9       2       6       10      7       8       9           
Vardas61       Pavarde61      3       4       6       4       8       8       8       10      4       9       7       10      7       10      1           
Vardas62       Pavarde62      8       3       1       4       10      2       5       4       4       7       4       9       5       8       1           
Vardas63       Pavarde63      4       2       2       8       1       3       5       1       2       2       9       1       8       5       10          
Vardas64       Pavarde64      4       9       6       9       8       3       3       1       5       1       1       2       9       3       4           
Vardas65       Pavarde65      10      6       7       4       3       10      9       8       9       1       10      5       10      2       8           
Vardas66       Pavarde66      6       5       1       6       4       4       4       1       5       3       6       3       4       9       8           
Vardas67       Pavarde67      6       6       8       10      10      8       1       3       2       4       10      10      7       6       8           
Vardas68       Pavarde68      3       5       7       2       6       5       5       6       10      2       3       6       3       9       7           
Vardas69       Pavarde69      6       6       7       4       1       8       9       2       4       6       4       4       6       5       4           
Vardas70       Pavarde70      9       7       9       9       6       6       10      5       1       8       8       3       3       7       7           
Vardas71       Pavarde71      7       5       10      5       4       3       9       10      6       7       4       8       2       8       4           
Vardas72       Pavarde72      3       3       2       7       4       2       6       9       10      3       9       10      6       3       3           
Vardas73       Pavarde73      4       7       8       8       4       7       7       1       8       6       10      9       2       1       6           
Vardas74       Pavarde74      10      6       1       4       3       3       9       10      8       5       5       4       8       4       10          
Vardas75       Pavarde75      6       2       7       2       5       8       3       7       10      9       8       6       7       2       4           
Vardas76       Pavarde76      6       1       5       5       1       8       5       1       3       9       3       8       2       6       6           
Vardas77       Pavarde77      2       2       7       4       7       9       7       5       7       9       5       6       8       9       3           
Vardas78       Pavarde78      6       8       1       6       8       7       10      8       1       2       9       9       6       1       4           
Vardas79       Pavarde79      1       8       4       10      2       7       3       9       1       1       8       10      3       1       3           
Vardas80       Pavarde80      8       1       2       4       8       4       6       10      9       2       8       4       7       2       5           
Vardas81       Pavarde81      2       3       8       7       2       9       7       2       3       5       1       4       4       4       3           
Vardas82       Pavarde82      9       2       3       6       6       3       8       3       6       8       9       1       8       8       6           
Vardas83       Pavarde83      8       9       9       9       7       10      7       3       9       4       1       8       5       10      5           
Vardas84       Pavarde84      3       5       1       10      4       3       3       9       9       9       10      1       2       9       1           
Vardas85       Pavarde85      4       9       2       5       6       5       4       1       3       7       8       7       7       5       4           
Vardas86       Pavarde86      1       5       9       6       1       10      10      6       5       8       7       8       10      9       5           
Vardas87       Pavarde87      6       6       10      9       9       5       8       5       9       8       2       8       7       10      4           
Vardas88       Pavarde88      6       4       7       7       4       8       8       10      4       3       5       3       1       6       7           
Vardas89       Pavarde89      2       9       3       2       10      8       9       6       1       5       3       2       2       3       1           
Vardas90       Pavarde90      1       6       10      4       8       1       2       7       6       4       6       2       4       5       9           
Vardas91       Pavarde91      10      6       2       8       8       10      10      4       9       4       3       8       7       4       1           
Vardas92       Pavarde92      4       4       4       5       4       2       9       2       1       3       1       8       1       8       4           
Vardas93       Pavarde93      1       5       6       2       10      3       1       3       6       6       5       5       4       3       8           
